Date,Open,High,Low,Close,Volume,SMA_5,SMA_20,EMA_10,MOM_3,MOM_10,RSI_14,MACD,MACD_Signal,BB_Lower,BB_Upper,OBV
2018-12-28,98.3093,99.2014,97.5545,98.5642,6058231.2971673,97.08858000000001,101.6823,98.78201146512774,3.858699999999999,-7.126800000000003,43.33528207296058,-1.4636758526188345,-0.828425480670075,94.28755504343727,109.07704495656273,252525626.94106624
2018-12-31,98.7601,99.2014,97.6329,98.6818,5620187.8724326,97.28072000000002,101.37694000000002,98.76379119874088,1.950800000000001,-3.0682000000000045,43.75201390103144,-1.3946598144599278,-0.9416723474280457,94.0180610466482,108.73581895335184,258145814.81349882
2019-01-02,97.4819,98.2407,96.6622,97.6132,5414361.9842622,97.86226000000002,100.8554,98.5545927989698,-0.10790000000000077,-3.1757999999999953,40.81468284203807,-1.4099383051962917,-1.035325538981695,94.02661891588862,107.68418108411139,252731452.82923663
2019-01-03,97.277,98.3681,96.4986,96.6722,6691507.4330703,97.85050000000001,100.41821000000002,98.21233956279346,-1.891999999999996,-3.2156999999999982,38.371675621598726,-1.4809064867681343,-1.124441728538983,93.70011846871536,107.13630153128467,246039945.39616632
2019-01-04,97.8191,98.7798,96.6622,98.6818,7047554.465575,98.04264000000002,100.13390000000001,98.29769600592192,0.0,0.42149999999999466,45.828952075954014,-1.3593219397173755,-1.1714177707746614,93.64215275681069,106.62564724318933,253087499.86174133
2019-01-07,98.2309,98.5838,97.0241,97.8094,5845612.923137,97.89168000000001,99.80697,98.20891491393611,0.19619999999999038,-0.6175000000000068,43.37519244859158,-1.3181657055355203,-1.2007673577268332,93.55464053563789,106.05929946436213,247241886.93860433
2019-01-08,98.3584,98.9665,97.7211,98.7601,7175033.6858593,97.90734,99.573125,98.30913038412953,2.0878999999999905,1.0389999999999873,46.722883140070515,-1.195059645073556,-1.1996258151961778,93.54668567356129,105.59956432643872,254416920.62446362
2019-01-09,98.5446,99.0148,96.0055,96.0055,9541662.6532132,97.5858,99.18539999999999,97.89028849610598,-2.6762999999999977,1.2999999999999972,39.446058166988905,-1.304730285508498,-1.220646709258642,93.29693179779272,105.07386820220725,244875257.9712504
2019-01-10,95.927,96.7408,95.8809,96.5859,8851586.2796423,97.56854000000001,98.777645,97.65312695135944,-1.2235000000000014,-0.14509999999999934,41.51298588521419,-1.3294861401454625,-1.2424145954360062,93.40188653719616,104.15340346280385,253726844.25089273
2019-01-11,96.325,96.8858,96.1398,96.5957,6650193.5327394,97.15132,98.38268000000001,97.46086750565772,-2.1644000000000005,-1.1254000000000133,41.54926495995041,-1.3329491471670707,-1.260521505782219,93.65377695034465,103.11158304965537,260377037.78363213
