Date,Open,High,Low,Close,Volume,SMA_5,SMA_20,EMA_10,MOM_3,MOM_10,RSI_14,MACD,MACD_Signal,BB_Lower,BB_Upper,OBV
2023-08-23,2304.92,2322.25,2301.54,2321.76,15744140,2294.2200000000003,2308.3080000000004,2304.7168461112296,59.23000000000002,-12.519999999999982,56.67366600101659,25.671337562846475,34.24737863178845,2215.032295124767,2401.5837048752337,1876228519.0
2023-08-24,2322.73,2323.69,2305.88,2311.66,17033917,2298.652,2312.0645000000004,2305.9792377273698,41.899999999999636,4.329999999999927,55.077329902737965,24.424626519983576,32.28282820942748,2225.1239575890613,2399.0050424109395,1859194602.0
2023-08-25,2292.4,2313.58,2289.5,2306.83,15972236,2307.512,2315.6520000000005,2306.1339217769387,-20.720000000000255,-32.76000000000022,54.2897916755816,22.78421614144463,30.38310579583091,2236.515863175221,2394.78813682478,1843222366.0
2023-08-28,2332.36,2356.93,2330.91,2346.81,18953787,2322.922,2321.744,2313.5295723629497,25.049999999999727,27.449999999999818,59.45741177346193,24.42863289738807,29.192211216142347,2254.072416474763,2389.4155835252373,1862176153.0
2023-08-29,2356.44,2360.78,2327.55,2342.0,18211774,2325.8120000000004,2323.9355,2318.706013751504,30.340000000000146,12.039999999999964,58.5990800851616,25.054900921019907,28.364749157117863,2256.6405891188847,2391.2304108811154,1843964379.0
2023-08-30,2359.33,2372.82,2350.18,2366.07,19763804,2334.674,2324.465,2327.317647614867,59.24000000000024,82.83000000000038,61.587473152784845,27.180154775192932,28.127830280732876,2255.969088328132,2392.9609116718684,1863728183.0
2023-08-31,2374.27,2431.09,2372.34,2422.42,40996996,2356.826,2325.0670000000005,2344.608984412164,75.61000000000013,132.92000000000007,67.50161828791694,33.030651045269224,29.108394433640147,2253.2601335641275,2396.8738664358734,1904725179.0
2023-09-01,2393.52,2432.05,2391.6,2426.76,24341613,2380.812,2330.4610000000007,2359.5455327008613,84.76000000000022,164.23000000000002,67.91139794171659,37.58416634467085,30.80354881584629,2245.5916187754137,2415.3303812245877,1929066792.0
2023-09-04,2446.5,2503.81,2445.54,2501.88,34521535,2411.826,2338.1665000000003,2385.42452675525,135.80999999999995,232.1199999999999,74.01813830269928,46.71590435594317,33.98601992386567,2223.816406124027,2452.5165938759737,1963588327.0
2023-09-05,2504.3,2513.45,2469.62,2493.7,29133502,2442.166,2345.1495000000004,2405.1109764361136,71.27999999999975,166.14999999999964,72.40231626840419,52.6854893578693,37.7259138106664,2211.3199228310013,2478.9790771689995,1934454825.0
2023-09-06,2511.03,2565.94,2509.59,2553.42,32838897,2479.6360000000004,2356.1065,2432.0762534477294,126.65999999999985,231.65999999999985,76.4451580220645,61.526098811140855,42.48595081076129,2193.2817457363376,2518.931254263662,1967293722.0
2023-09-07,2559.2,2573.17,2536.08,2539.93,27185392,2503.138,2367.7365000000004,2451.686025548142,38.04999999999973,228.26999999999998,73.81468580878196,66.67522474961697,47.323805598532424,2187.305249319654,2548.1677506803467,1940108330.0
2023-09-08,2514.9,2548.12,2502.37,2507.18,31622626,2519.222,2376.1160000000004,2461.7758390848435,13.480000000000018,200.3499999999999,67.72214458451323,67.33707299486605,51.32645907779916,2185.8882883213532,2566.3437116786477,1908485704.0
2023-09-11,2514.4,2521.63,2490.81,2499.47,17067866,2518.74,2385.1215,2468.629322887599,-53.95000000000027,152.65999999999985,66.33404714498774,66.47319828108857,54.35580691845705,2189.2379411107313,2581.005058889269,1891417838.0
2023-09-12,2527.41,2562.08,2522.6,2559.2,22383951,2531.84,2396.5835,2485.096718726217,19.269999999999982,217.19999999999982,71.25040804112663,69.8036303625322,57.44537160727208,2187.8821342793817,2605.2848657206187,1913801789.0
